"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
143845,21432.1,262.74,267.96,1602,8397.48,2369.64,11605.6,404.25,1506.18,120.5
183502,75640.5,1468.56,419.92,6188.25,58163.8,10209.4,16426.8,987,15552.4,122.7
148330,30747.6,397.3,371.78,4363.5,42590.3,8096.4,25903,681,2446.86,123.6
161718,50633.7,484.88,275.5,3879.75,26192.4,6076.2,23984.2,789,2706.6,124
115289,38426.7,80.62,190.82,3060,36599.2,5699.46,10952.8,495,1365.78,125.1
157649,37476.7,237.22,109.04,3468,33136.7,6191.64,14046.2,621,1443,126.9
127284,47856.1,388.02,282.46,5087.25,42683.9,8151,22711.3,902.25,2951.52,127.4
201945,71449.6,2625.08,573.62,12738,136757,23175.4,28090.9,2087.25,25487.3,128.2
203219,40655.2,372.94,256.94,3816,27103.4,6407.7,19515.6,941.25,1790.1,128.9
185804,55766.9,346.84,448.34,5715,48636.1,9615.84,35250.5,1118.25,2755.74,129.2
259226,93307.5,1313.12,518.52,11886.8,95149.1,19449.3,38010.2,2043.75,8323.38,129.9
134063,40247.2,434.42,239.54,4791.75,38666.9,7846.02,19638.8,855.75,3743.22,130.4
121957,58980.5,530.12,715.14,6621,36419,8842.08,42631.7,1253.25,3502.2,130.7
79522.6,45849.2,272.02,288.26,3732.75,29331.1,5794.62,17138.2,810.75,2034.24,132
150570,62166,3171.44,1087.5,4165.5,18784,7189.26,68303,894,35304.4,133.3
138551,95706.8,522,181.54,4649.25,15323.1,5048.16,11719.5,1732.5,3757.26,135.5
189140,78795.6,538.82,217.5,6285.75,43787.6,9099.48,14684.3,1396.5,3662.88,135.7
131969,35813.7,461.68,167.04,3816,34425.3,6396.78,14530.6,663,2224.56,135.8
169973,58230.1,470.38,488.94,6321,63137.1,11713.3,38030.5,953.25,5010.72,136.1
104126,69573.7,582.32,410.06,7190.25,61792.4,11700.8,21684,1167.75,4907.76,137
142591,63981.1,314.94,474.44,4615.5,28810.9,6786,34080.5,954.75,3004.56,137.6
230863,44532.5,1665.76,503.44,11142.8,155084,23554.4,25672.1,974.25,21344.7,138.4
244236,57805,854.34,390.92,5565.75,47999.6,9287.46,29766.4,937.5,3026.4,138.9
197295,53178.1,559.12,468.06,5483.25,33117.2,8060.52,35199.1,987.75,3924.18,139.6
218772,76383.1,1678.52,915.82,7740.75,37442.3,11673.5,49028.5,1656.75,11069.8,145.1
142578,29842,138.62,176.32,3505.5,36738.8,6839.04,18861.2,486.75,1751.88,145.6
45759.9,21110.7,400.2,200.68,1644.75,5183.88,1952.34,9722.7,365.25,2785.38,149.1
174137,46154.2,370.62,418.18,5181.75,39578.8,8321.82,25424.1,1060.5,3481.14,149.5
162967,31610.3,236.64,110.2,3414,30022.2,5421,9852.18,563.25,2026.44,154.6
55767.5,17472,9.86,102.08,1894.5,10183.7,2420.34,8424.78,338.25,772.98,155.6
149404,66947.4,613.64,262.74,7870.5,58103.8,11840.4,20303.4,1557,4385.94,156.6
116146,37628.8,219.82,175.74,7311.75,98446.9,15019.7,12115.7,736.5,2292.42,157
146800,45864.8,95.7,240.12,5059.5,44793.1,8526.96,26713.4,949.5,2744.04,157.5
262143,98158.3,6223.98,1698.82,9981,74256.8,17010.2,101738,1903.5,61912.5,160.6
221892,104090,740.08,623.5,8028,47725.1,11563.5,45836.7,1632.75,5123.04,166.3
171920,84044.2,4790.8,1455.22,17503.5,207037,33010.4,56433,2032.5,57585.8,167.8
155842,28572.2,316.68,295.8,3152.25,22773.7,4718.22,19544.5,704.25,1862.64,169.6
100027,40137.2,157.18,319.58,4030.5,30416.9,6938.1,31925.4,741.75,2880.54,170.7
152334,32728,302.18,139.2,2427,14372.3,3549,12618.8,564,1443,172.2
188532,91391.8,696,487.78,8855.25,81054.5,15314.5,37867.4,1359,5466.24,173.2
135773,33643.7,377,191.98,5261.25,63031,10443.4,16003.3,580.5,2580.24,174.2
193365,80402.4,761.54,633.94,5895.75,28881.8,8336.64,42126.2,1208.25,4789.98,176.1
104645,46947.4,432.1,240.12,6867,71592.3,11731.2,18928.3,901.5,4016.22,194.5
86155.3,43585.6,213.44,310.3,3708,28237.6,5916.3,20999.2,683.25,2091.18,195.4
132457,22305.7,271.44,192.56,2075.25,10291.3,2552.94,8869.38,481.5,1333.8,196.7
262143,69028.4,873.48,736.6,7487.25,56821.4,13261.6,67947.4,1472.25,5615.22,197.3
204806,59227,1190.74,628.14,6596.25,46999.7,11771,48306.2,1365.75,6073.86,197.5
211043,53272.4,462.26,371.2,4200,26211.1,6328.14,28726.6,873,3208.92,198
65659.4,34489.3,385.7,124.12,4052.25,38347.9,6945.12,10168.9,678,2331.42,198.5
105728,38234.8,566.08,123.54,3234,22552.9,4845.36,7062.9,680.25,2383.68,199
109283,41314.3,514.46,199.52,4644.75,33365.3,7004.4,12080.6,906.75,7656.48,199.1
162759,169622,578.26,236.06,5004.75,21383.7,6282.9,15107,1632.75,3314.22,200.2
193484,38925.1,349.74,269.12,5544.75,58950.1,10421.6,25910.8,701.25,2971.02,200.8
232389,63730.7,680.34,464,5505,31506.5,7980.96,37194.3,1152.75,4066.92,201.1
105990,51692.2,774.3,317.84,3928.5,23311.1,5264.22,13827.8,809.25,4736.16,201.4
144788,55426.8,698.32,356.7,6747.75,62528.7,11601.7,25800.8,1121.25,3588.78,201.6
106788,28293.7,108.46,232,2455.5,18687.2,4024.8,13146.1,442.5,1461.72,214.2
142300,23956.9,241.28,251.14,2162.25,9172.02,3094.26,16436.9,503.25,2556.06,216.1
77242.6,18784,626.98,225.62,6132,79683.2,12009.7,9286.68,701.25,7503.6,217.3
136211,97396.3,711.66,431.52,6147,38310.5,8262.54,20896.2,1503,6988.02,227
262143,79627.1,1048.64,925.68,7147.5,35060.2,11263.2,81235.4,1746.75,5583.24,229.3
80280.1,42578.6,205.9,313.2,4094.25,38617,6876.48,22980.4,692.25,1827.54,230.1
137554,39592,453.56,179.22,4370.25,33406.6,6582.42,12494.8,720,2428.92,238.4
262143,109548,1681.42,614.8,9975.75,61450.7,14811.4,42928.9,1893.75,7964.58,238.8
74222.7,36303.5,262.74,58,2145.75,15881.6,3412.5,5807.1,527.25,1157.52,239.4
202095,52345.8,1011.52,491.26,6246,35193.6,9168.9,41162.2,1309.5,5665.14,239.9
213175,55163.9,384.54,418.76,5789.25,56586.7,10435.6,40228.5,938.25,3418.74,240.4
262143,86088.6,1659.38,1140.86,9453.75,31837.3,13160.2,94092.2,2397,9645.48,240.6
182403,86387.3,1064.3,603.78,8107.5,27880.3,10303.8,47744.6,2090.25,8406.84,241.1
134389,44009.2,339.88,387.44,9927,132634,21074,29133,966,4430.4,242
200705,145537,1748.7,499.38,17196,157525,27265.7,28344.4,2634,17935.3,242.5
147006,22006.9,222.72,187.92,3347.25,19126.4,4568.46,10474.6,863.25,2338.44,243.1
