"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
53539.1,29362,119499,20606.8,15810,85419.9,399.04,113.1,2157.75,10764.8,2776.02,4407,463.5,3031.86,73.6
64819,31871,133287,33217.1,22863,95215.6,510.4,307.4,6592.5,93844.9,14578.2,17039.9,636,2431.26,74.2
91426,50862,117803,42130.1,29770,92745.7,1052.7,339.3,3519,18742.6,5183.88,16813.7,827.25,10223.5,74.2
72687.9,47834,99587.6,43278.3,30778,92153.1,603.78,65.54,2217,6411.6,2756.52,8887.32,762,3145.74,74.5
42595.9,21362,130679,25950.6,16914,100550,222.72,169.94,2698.5,19509.4,4223.7,8473.92,630.75,1912.56,75.2
94478.5,53314,116137,27592.5,19766,91485.5,185.6,151.96,4332,50996.4,8500.44,14171,672.75,1762.02,75.4
85584.1,45459,123382,24274.4,16631,95655.4,218.66,113.1,2670,23912.5,4514.64,13880.1,484.5,1735.5,75.7
78118.4,36722,139414,44627.7,27682,105654,4232.84,919.3,5307,43400,8942.7,39904,996,41014,75.8
159131,89118,117022,46721.2,28922,105868,813.74,499.38,5352,54735.7,11296,41190.2,1025.25,3694.08,76.2
57581,39565,95378,26584,20397,85414.8,803.3,158.92,1991.25,8256.3,2440.62,8296.08,482.25,3374.28,76.4
107110,52420,133909,33967.4,22324,99717.3,1219.74,171.1,6183.75,65699.4,11341.2,16913.5,793.5,9845.16,77.3
163688,89434,119948,44554.4,28990,100721,1730.14,230.84,5091,39453.2,8515.26,16401.1,1128,14570.4,77.3
91166.9,45931,130080,35160.8,24095,95634,462.84,267.96,3234.75,20334.6,4579.38,16633.5,729,2615.34,77.5
103288,57706,117303,25333.6,18782,88396.6,1074.16,167.62,3315.75,28606.5,5179.2,7952.88,507.75,9285.9,77.8
