"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","APC-Cy7-A","AmCyan-A","FITC-A","PE-A","PE-Cy7-A","Pacific Blue-A","PerCP-Cy5-5-A","Time"
114866,66604,113024,22950.7,17180,87549.4,284.78,66.12,2700.75,13183.6,3675.36,4518.54,769.5,2297.88,66.9
135587,79694,111500,26405.3,19178,90233.6,595.08,136.3,2382.75,21004.6,4243.98,8062.86,472.5,4187.04,67
70131.1,43468,105736,18036.7,13996,84456.6,280.14,63.8,1720.5,19366.6,3474.9,7941.96,278.25,725.4,67.1
72188.8,52398,90289,15562.6,13514,75470.5,512.72,116.58,2988,19035.1,4282.98,3589.56,927,2287.74,67.7
128683,74711,112879,29853.7,20439,95723.5,1201.76,297.54,3779.25,36361.3,6744.66,12925.4,697.5,12218.7,67.9
101347,58214,114094,32903.5,23330,92428.9,203.58,48.14,3510.75,34962.7,6471.66,4986.54,576.75,2399.28,68.1
64623.8,35698,118639,24993.5,17014,96272.3,606.68,145,3651,17058.6,4977.96,9326.46,1089.75,3195.66,68.3
96685.8,62100,102035,18566.3,14352,84780.1,569.56,88.16,2143.5,20762,3951.48,7815.6,407.25,4424.94,68.8
63710.6,40817,102294,16972.8,12501,88979.2,1449.42,282.46,1221.75,6039.54,1894.62,13777.1,312,13841.9,69
89712.4,50919,115466,21519.4,15651,90109,1068.36,154.28,3509.25,16558.6,4605.12,11216.4,1106.25,8569.86,69.3
75669,40170,123451,38616.2,20798,121683,559.7,125.86,2884.5,16861.3,3936.66,7164.3,762.75,3558.36,69.5
107431,53064,132681,41227.7,27516,98193.7,955.84,252.3,7869,114060,17692.7,10096.3,827.25,11373.2,69.7
67048.7,32910,133519,25276.7,15498,106887,717.46,168.78,2674.5,25860.9,4642.56,7973.16,446.25,8609.64,70.1
104628,72226,94936.3,15172.6,12258,81118.4,404.26,105.56,2034,24248.6,4304.82,6913.92,227.25,2492.88,70.6
93676.1,53711,114300,21779.2,15743,90663.7,216.92,154.86,2112.75,16068,3350.1,13248.3,420.75,1155.96,70.8
78363.9,45993,111662,21328.3,15165,92171,301.02,125.86,2556,22167.6,4261.14,8718.06,495.75,1608.36,71
123886,61911,131140,32320.1,21095,100409,423.98,129.92,3297,17523.5,4777.5,9460.62,909,2689.44,71.1
105844,60190,115245,23449.9,17402,88312.5,529.54,132.82,2727.75,20162.2,4627.74,8211.84,654,1769.04,71.2
109674,61538,116799,25073.9,17698,92849,539.98,105.56,3397.5,20408.7,4624.62,6384.3,891,4683.9,71.4
60195,29443,133986,27984.8,19735,92932.1,437.9,109.04,2052,13465.1,3005.34,8582.34,489.75,3679.26,73.5
