"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
82228.3,68158,511.56,687.88,1687.5,8840.52,2542.8,22549.8,334.5,1224.6,227.1
212990,92787.2,744.72,1465.66,2658,22784.6,5355.48,37570.3,452.25,1974.96,228.7
71922.2,61996.7,3974.74,9801.42,1679.25,1599,1640.34,23368,504,3876.6,234
73162.6,69376.3,3618.04,8714.5,1887.75,2237.82,2187.9,19513.3,639.75,2455.44,234.6
118399,123029,905.96,1211.62,3917.25,23336,5804.76,29169.7,705.75,6552.78,235.5
91596,72827,624.08,856.08,3386.25,31437.1,6551.22,30941,462,6949.8,240.8
63771.8,59059.3,201.26,366.56,2692.5,31536.2,5304.78,13743.6,304.5,1083.42,245.3
262143,177095,3014.84,5763.46,3756.75,25445.9,15723.2,262143,621.75,27223.6,245.9
127596,118593,1415.2,2038.7,2751.75,19156.8,6111.3,70143.1,509.25,7697.04,248.7
54206.2,101579,4532.7,9779.38,1046.25,1212.12,1333.8,20578,332.25,1412.58,249.9
114740,97685.6,7675.14,16263.8,2358,2183.22,2928.12,55419,707.25,4370.34,258.1
97616,246776,1915.16,3047.32,4830,12476.1,6625.32,63520.1,1332,5690.88,259.1
62932.6,91600.9,2757.32,4416.7,2204.25,2549.04,2961.66,25583.2,609.75,5392.14,264.3
133613,108946,1812.5,1621.68,2109.75,7927.92,4123.86,53789.6,579,12164.1,265.2
252075,181150,3517.12,1916.9,4919.25,33369.2,8232.12,54964.3,864.75,34044.7,271.7
111058,184412,1654.16,2197.04,3711,25722.1,6850.74,75114,677.25,15735.7,273.4
80668.4,197211,2467.32,2999.76,4176.75,16217.8,8474.7,117619,1100.25,13192.9,275.3
144586,73041.5,1277.16,1032.98,1501.5,9533.94,3424.98,47860,285.75,12763.1,278.3
44616.2,78344,1292.24,1596.74,1674,5591.04,2946.06,47819.5,392.25,8702.46,278.5
115295,66778.1,3648.78,7239.56,2080.5,6159.66,3265.86,38784.7,588.75,3225.3,279.2
114335,115783,1504.52,1347.34,2733,17757.5,5183.88,65026.3,543,9517.56,283.5
80540.6,46319.5,651.34,1493.5,1047.75,5208.84,1751.88,17167,243.75,1026.48,284
117040,75100.7,689.62,732.54,1411.5,5761.86,2213.64,28679,344.25,4521.66,290.3
150494,173332,946.56,1073.58,2960.25,7537.92,4415.58,46215,834.75,7082.4,290.4
86198.8,148953,3694.6,7505.78,3961.5,15634.3,7031.7,115279,1023.75,12487,293.8
56067.4,104892,640.32,550.42,1832.25,6899.88,2755.74,23251.8,406.5,1470.3,294.8
208080,133781,3428.96,2774.72,4485.75,41215.2,9077.64,86583.1,603.75,29005.9,298
246844,140163,3474.2,8226.72,3369.75,9587.76,4565.34,42338.4,910.5,3534.96,298.3
112751,86239.9,785.9,1735.36,1783.5,10159.5,3646.5,48505.1,339,1630.2,300.9
225838,126989,3928.92,12347,3861,29740.6,25652.6,262143,762.75,10281.2,307
223823,150825,5271.62,9073.52,2511.75,6601.92,4527.9,83569.2,552.75,25305.5,308.9
56418.9,82451.5,521.42,823.02,2211,12602.5,3198.78,24818.8,372,1500.72,310
69304.2,69530.8,1273.1,1314.28,3821.25,38716.9,7866.3,46550.4,486.75,10300.7,318.1
214693,224499,1267.3,1839.18,5316.75,23522.5,7629.18,59492.2,1132.5,3480.36,318.9
61901.8,66910,994.7,1294.56,2389.5,13256.1,4521.66,49274.2,397.5,5404.62,320.4
217109,239966,1685.48,2402.36,4296.75,11405.2,6706.44,55908.8,1483.5,4255.68,323.4
106478,105131,783,968.02,2823.75,18156.8,4752.54,48161.1,568.5,1964.82,324.1
171056,142983,3440.56,6558.06,4149.75,20036.6,6781.32,76378.4,962.25,4992,330.2
103344,73234.2,988.9,1419.26,1785.75,11547.9,3843.06,45621.4,303.75,5852.34,332.2
