"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
135436,63846.1,8649.54,1642.56,1291.5,1639.56,1748.76,48540.2,367.5,105572,81
236059,214860,10947.5,24509.1,3981.75,4236.18,4151.94,51720.2,1257,14912,81.9
211945,87311.6,4849.96,10087.4,2403.75,4688.58,24534.1,262143,744,38453.2,82.1
223496,206436,19673.6,3287.44,3099.75,3754.14,3477.24,82454.6,822,218983,83
258189,262143,15067.2,3062.98,5442.75,5017.74,5977.92,97182.5,1554,158390,83.3
262143,82948.3,1072.42,682.08,1431.75,7285.98,2953.08,54563.3,246.75,15433.1,83.6
102513,116329,947.72,506.92,1421.25,5780.58,2051.4,21869.6,373.5,10126,84.3
262143,148427,4877.22,1037.04,1616.25,2031.9,1925.04,33552.5,470.25,53979.1,85
262143,133895,2194.72,857.24,2466,14061.1,4182.36,48499.6,441.75,25612.1,86.2
243447,178079,631.04,186.76,1694.25,4690.14,2178.54,15543.8,638.25,1423.5,86.3
262143,262143,22444.8,4456.14,3835.5,5821.14,5073.9,130804,1122.75,248495,86.6
129068,161366,6025.62,1106.06,3065.25,4889.04,3068.52,27981.7,852.75,58896.2,86.7
190829,148184,5847.56,14518,3557.25,3800.94,4360.98,68287.4,1220.25,10274.9,86.8
193719,177562,7147.92,1721.44,2122.5,3232.32,3687.06,76483.7,657.75,82346.2,86.8
179371,168916,5889.32,14581.8,3591.75,3940.56,3452.28,19152.9,1083,7906.86,87.1
220854,124305,979.04,974.4,2115.75,19147.4,4163.64,32093.1,428.25,6626.1,87.2
133207,182385,3202.18,950.62,2529.75,6172.14,2719.86,27284.4,806.25,31314.7,87.8
205609,108694,8374.04,20131.2,1593.75,1541.28,1861.86,23233.9,475.5,6638.58,88
185023,138890,4593.02,691.94,1481.25,4860.18,1814.28,17848,387.75,51018.2,88.1
262143,61038.9,449.5,311.46,750,942.24,1048.32,16045.4,246,4086.42,88.5
252072,241291,6781.36,1745.22,3972,11052.6,5632.38,53234.2,1155.75,81617.6,88.5
262143,136563,7480.26,15386.8,3161.25,3222.18,3363.36,63019.3,889.5,13402,90.1
262143,262143,17360.6,3405.18,4514.25,7434.96,5846.1,111371,1255.5,197534,90.5
180392,165090,5182.3,1316.02,2830.5,5158.92,3154.32,41946.1,690,58728.5,91.5
125498,198728,3565.26,744.14,2788.5,9708.66,3613.74,34084.4,762.75,38255.1,91.7
131662,168733,798.08,433.84,1782,8103.42,2582.58,22293.2,436.5,8364.72,93.1
262143,142762,8514.4,21246.6,2606.25,2569.32,2311.92,16214.6,770.25,16173.3,93.3
224393,112654,203.58,216.92,1248,8730.54,2145,14221.7,264.75,1161.42,93.4
70076.7,115860,3339.06,747.62,2057.25,3591.12,2323.62,24883.6,480.75,32809.9,93.6
