"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
81670.7,43570,122845,32806,20178,106550,191.4,248.24,4086.75,45654.2,8296.08,19194.2,693.75,1903.2,118.7
60106.6,34778,113265,24003.7,15514,101399,461.1,238.38,1809.75,8044.14,2762.76,16180.3,520.5,2599.74,119.3
135583,77894,114073,22021,16418,87901.4,98.02,176.32,6440.25,102119,15412,10762.4,525,2322.84,120.2
136522,79563,112453,29345.2,22011,87372.9,83.52,246.5,4224.75,62768.2,9450.48,14398,399.75,1752.66,120.3
108600,69074,103038,17263,13734,82375.5,301.02,214.6,1361.25,12295.9,2457.78,11080.7,300,2968.68,122.7
54057.3,33711,105090,37248.1,23695,103021,871.74,328.28,3049.5,32406.7,6346.08,21993.7,563.25,9355.32,123
105052,60211,114343,25506,17763,94103.5,298.12,138.04,3444.75,40180.1,6454.5,10771,428.25,1437.54,123.9
127977,88870,94375.2,20438.3,15218,88017.3,492.42,200.68,3571.5,53173.4,8560.5,14682.7,360,3696.42,128.3
98902.6,71513,90636.4,21435.2,17049,82396.4,208.22,149.06,1676.25,18861.2,3149.64,4909.32,255.75,885.3,128.7
120260,77123,102192,15453.4,11699,86567.4,639.74,247.66,1065.75,5696.34,1847.82,13830.2,280.5,4839.9,130.1
74322,39619,122940,36082.8,18759,126058,270.28,603.78,5158.5,67662.7,11986.3,52880.1,667.5,2564.64,130.4
76262.7,48006,104111,19170.1,14786,84967.5,327.7,109.04,1668.75,20325.2,3525.6,8582.34,267,2478.06,131.2
78185.7,42039,121886,30721.1,20115,100091,1216.26,417.02,4229.25,60539.7,9803.82,31487.8,371.25,14939.3,132.6
131748,68522,126007,40044.4,27086,96889.6,1303.84,287.1,2792.25,14430.8,3908.58,19928.2,648,8316.36,134.7
129775,76238,111557,34957.3,22846,100278,505.76,249.98,3855,41431.3,7286.76,19018,564.75,3261.96,135
94919.2,63071,98628.9,12540.1,10383,79151,345.1,110.2,2510.25,33853.6,5702.58,6474.78,226.5,2654.34,135.1
122913,88612,90904.3,16522,13332,81216.9,441.96,88.74,1383.75,8460.66,1825.98,5680.74,342.75,2676.96,136.7
