"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
142733,91611,4905.64,12993.2,1934.25,2020.98,1858.74,10128.3,716.25,1927.38,144.1
158961,82782.2,4968.86,11437.6,2214.75,2605.2,2598.96,18706,736.5,3901.56,144.5
128482,75287.9,4249.08,9599.58,1198.5,1249.56,1312.74,10842.8,429,1699.62,145.8
105639,89007.4,3727.08,8451.76,1734.75,1488.24,1504.62,6424.86,629.25,1578.72,147.6
187484,116480,5084.86,10608.8,2877,3163.68,2914.86,18652.1,961.5,3897.66,152.5
146256,151017,5587.72,13530.8,2031.75,1889.16,1926.6,22287.7,675,2925,154.3
160008,91359.1,4861.56,12300.1,2376.75,2530.32,2229.24,18997.7,879.75,2738.58,154.9
239253,169550,7411.82,14634.6,4628.25,5027.1,5350.8,29338.1,1364.25,9079.98,156.1
81422.5,119590,4685.24,10284,2921.25,3176.16,3036.54,21935.2,999.75,3803.28,156.7
180008,223699,5208.98,11695.1,5390.25,5726.76,5574.66,40189.5,1916.25,8431.02,158.2
179480,164710,7137.48,16401.8,2628.75,2613,2699.58,18046.9,872.25,3603.6,158.5
136081,53255.3,3571.06,8418.7,1342.5,1340.04,1375.14,11796.7,509.25,1996.8,158.9
239834,124909,6827.18,15797.5,2862,2420.34,2502.24,15178.8,819.75,5945.94,160.1
262143,179852,7962.82,17229.5,4284.75,4742.4,4418.7,22225.3,1412.25,8511.36,161.3
199767,174246,4676.54,10437.1,1938.75,1870.44,1717.56,12487.8,715.5,3277.56,162.9
107202,60095.9,3362.84,7685.58,1039.5,907.92,1200.42,14922.2,351.75,1226.16,164
198017,120329,9747.48,22642,2245.5,2230.8,2057.64,16936.9,777,2874.3,165.3
139720,117285,4416.7,9632.64,2667,2609.88,2705.82,20914.1,844.5,5296.2,167.9
222724,151590,2984.1,8809.62,3016.5,3726.06,3038.88,25070,1012.5,4373.46,169.3
171839,115201,3856.42,8658.82,2440.5,2445.3,2496.78,17473.6,918,3473.34,173.3
262143,262143,2676.12,1052.12,5720.25,10616.6,7303.92,34485.4,1992.75,22704.2,173.6
91264.2,137980,5806.96,14720.4,3510.75,3918.72,3534.18,19879.1,1215,4902.3,175.3
241346,195335,4456.14,10408.7,4671.75,4626.18,4658.94,30008.9,1580.25,7458.36,176.2
109391,91570.4,7560.3,16085.1,1817.25,1776.84,1772.16,12603.2,614.25,2130.96,177.2
150355,142530,5777.38,14656.6,2859.75,2960.88,3077.88,20430.5,946.5,4430.4,179.8
220605,192515,6686.24,14637.5,5601.75,5803.98,5834.4,29620.5,1687.5,12105.6,180.3
151437,95515.7,3694.02,9281.16,1304.25,1326,1368.12,13292,456.75,2773.68,180.5
262143,186302,7575.38,16930.2,5160,4886.7,5075.46,40882.9,1656,8119.02,181.8
128765,61771.3,2581,6919.98,1118.25,1197.3,882.18,9794.46,374.25,1616.94,181.8
262143,183637,8140.3,1426.22,3599.25,23521.7,5951.4,43416.4,921.75,89169.6,182.2
175252,142291,3254.96,6813.26,3225.75,3254.16,2980.38,10952.8,1155.75,4923.36,183
137589,79446.9,4260.1,9615.82,2112.75,2089.62,2129.4,17138.9,762.75,3187.08,185.7
108446,101437,4318.68,10153.5,2230.5,2503.02,2612.22,22256.5,729,3715.92,186.6
170002,143633,8476.7,20044.8,2774.25,2793.18,2632.5,22116.9,923.25,4570.02,186.6
142953,163542,5510.58,9573.48,3783.75,3772.86,3403.92,12554.1,1362,4929.6,188
201293,99726.9,5982.7,12284.4,2421,2524.08,2778.36,23370.4,830.25,3411.72,194
100866,57796.4,4739.76,10637.8,1257,1307.28,1444.56,13983.8,495,1813.5,198
207599,207450,8499.9,20447.3,3717,3686.28,4246.32,56731.7,1281.75,6745.44,201.6
256600,176015,5405.6,14609,2871,3315,3097.38,28074.5,1007.25,4633.2,201.6
185806,176422,3381.4,6915.92,3681.75,3852.42,3379.74,13409,1314,5595.72,202.1
106561,64422.5,5211.3,10332.1,1236.75,1290.12,1308.84,11896.6,416.25,2199.6,203.5
209730,149338,4575.62,10986.9,2208,2234.7,2156.7,18737.2,763.5,3410.16,203.6
262143,203346,9949.9,20166.6,6792.75,7140.12,6185.4,14208.5,2576.25,9634.56,203.7
262143,243330,10096.1,23995.8,6495,7277.4,7024.68,63908.5,2209.5,11313.9,204.6
203927,186981,4471.22,9258.54,4519.5,5449.08,4901.52,16084.4,1524,8018.4,208.9
146702,81740.9,5023.96,9744,2050.5,2222.22,2621.58,16210,736.5,4090.32,209.6
121263,66165.1,4707.28,11997.9,1492.5,1365,1401.66,19023.4,525.75,1891.5,210.3
262143,262143,5054.12,12408.5,3438,3228.42,3772.08,53768.5,1258.5,5376.54,211.5
153555,175239,4316.94,9257.96,5133.75,5187,4900.74,20960.2,1663.5,7337.46,213.6
97720.8,77559.3,4909.12,11831.4,1688.25,1783.08,1573.26,13029.1,588.75,2150.46,217.1
262143,227485,9927.28,24927.2,5078.25,5669.04,5286.06,40745.6,1802.25,6887.4,218.9
256418,247802,12849.9,30909.9,6679.5,6688.5,6695.52,41712.1,2121,10001.9,220.9
246903,130444,5346.44,10567.6,2605.5,2748.72,2671.5,23041.2,856.5,3577.86,222.9
209794,137044,5844.66,14384.6,2009.25,2056.86,1991.34,19918.9,737.25,2863.38,224.3
192451,131691,9325.82,21978.5,2255.25,1972.62,2141.88,22138.7,807.75,3486.6,224.9
212638,98024.2,6428.14,15577.1,2260.5,2108.34,2514.72,31326.4,797.25,5240.82,225.6
109855,80589.6,4111.04,8426.24,1761,1789.32,1520.22,8933.34,677.25,2082.6,225.9
123464,144082,7644.4,19559.9,2964.75,2923.44,2611.44,13517.4,1048.5,3136.38,226.5
93436.1,148382,3366.9,6948.4,3240.75,3573.96,3314.22,8453.64,1078.5,5330.52,228.9
262143,208343,4403.94,8520.2,5493,5989.62,4952.22,19659.1,2040.75,6225.96,230
