"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
89466.2,51182.8,2833.3,7091.08,1261.5,1340.82,1583.4,18610,468.75,2335.32,92.9
79449.8,86372.5,3844.24,8144.36,1799.25,1845.48,2269.02,26262.6,576.75,5835.18,93.4
181428,116743,4425.4,10046.8,1725,1812.72,1938.3,18637.3,566.25,3226.08,93.5
156069,116211,5058.76,10261.9,2266.5,2381.34,2095.08,18610,773.25,3084.9,93.6
96734.1,65119.1,3464.92,7525.5,1435.5,1398.54,1439.88,15227.9,462.75,2587.26,94.4
76457.2,91555.6,3658.06,7485.48,2294.25,2054.52,2047.5,10523.8,757.5,4389.84,94.5
120323,96047.6,4841.26,10052,2310.75,2747.16,2166.84,6257.16,928.5,2111.46,94.5
262143,262143,1371.12,2188.92,5496,13101.7,8095.62,74429.9,1592.25,6285.24,94.7
262143,92515,1156.52,744.72,1299,3787.68,2046.72,24109.8,426,11536.2,95.3
262143,87894.3,3043.26,788.22,990.75,1646.58,1456.26,26228.3,311.25,40517.9,95.8
194797,169854,4624.92,1596.74,1759.5,3917.16,2565.42,50585.3,498.75,48526.1,97.3
115584,60801.8,3568.16,8958.1,888.75,900.12,1192.62,24467.8,258,2681.64,97.8
112131,53572.7,2412.22,5780.86,687.75,747.24,872.82,8374.08,233.25,1118.52,98.7
98317.1,47809.3,1898.92,5017,876.75,904.02,1010.1,10355.3,297.75,1723.8,101
98396.7,107347,5458.96,12385.3,2055.75,2318.16,2237.04,20795.6,681.75,2958.54,102.1
72668.2,62973.3,3273.52,7889.16,1527.75,1908.66,1851.72,9968.4,470.25,2733.9,102.9
124300,113174,4905.06,11334.9,1727.25,1804.14,2208.96,29090.9,626.25,3713.58,104.2
219890,147613,3322.82,820.7,2119.5,11532.3,3760.38,36590.6,546.75,29317.1,107
187866,75691.2,4133.66,10858.8,977.25,1028.04,1132.56,22355.6,304.5,1644.24,107.7
190706,82478.8,2533.44,6211.22,816.75,808.08,738.66,7908.42,301.5,1310.4,108.2
209705,71036.2,1969.1,520.26,768,1947.66,1206.66,16189.7,262.5,19225.4,108.6
262143,96471.2,2922.04,831.72,1050.75,2561.52,1981.2,40978.1,251.25,35529,109
101536,54276.3,3399.38,8166.4,1053.75,1095.12,1045.2,11846.6,369,1696.5,110.4
111589,44225.2,2688.88,6670.58,591.75,454.74,751.92,18372.9,176.25,1549.86,110.7
230294,62141.8,1285.86,435.58,730.5,4523.22,1556.1,19612.3,192.75,11826.4,110.7
262143,157033,4510.66,1178.56,3297,12062.7,5098.86,44588.7,951,47375.6,111.2
262143,143058,3652.26,1490.02,1794,5175.3,4520.88,81308.8,489,34752.9,111.7
262143,262143,8980.14,19567.5,6403.5,5327.4,5120.7,35912,4138.5,7500.48,112.4
262143,160178,787.64,389.18,3976.5,9703.2,4479.54,12029.9,1548.75,2943.72,112.9
140061,51047.1,2494,7357.3,1187.25,1439.88,1478.1,16557.8,457.5,1834.56,114.7
141627,77877.5,3120.98,6950.14,681,439.92,637.26,9023.82,227.25,1481.22,115.2
96458.7,63384.4,4048.4,10347.2,1012.5,1034.28,1250.34,22852.4,293.25,2475.72,116.1
193816,126631,5438.66,14067.9,2220,2423.46,2499.12,22664.5,750.75,4854.72,116.2
104208,64029.4,3010.78,6512.24,1011,1092,1199.64,19712.2,355.5,2731.56,116.8
87101.2,95748.9,3675.46,7990.08,1066.5,931.32,1413.36,32987.8,338.25,16348,117.8
60772.3,84837.5,4741.5,11884.2,2022.75,1732.38,2870.4,89381.8,702,9708.66,119.1
129478,120941,5820.88,13068.6,1860,2263.56,2241.72,19429,687,3977.22,119.9
175717,72590.7,2152.96,4923.04,885.75,854.88,834.6,5977.14,289.5,1009.32,121.7
181838,77032.8,5186.36,12762.3,1623.75,2071.68,1816.62,17726.3,573,2473.38,122.6
262143,80776,2600.72,600.3,1213.5,1936.74,1881.36,28638.5,357,27898.3,124.7
119165,79393.9,4245.6,11039.7,1681.5,1999.92,1953.9,23767.4,591,4890.6,125.5
103993,63560.6,4125.54,9673.24,955.5,978.9,1165.32,13464.4,312.75,2131.74,125.9
214686,104153,6925.78,16441.3,2293.5,2251.08,1998.36,16351.9,785.25,2999.88,125.9
141918,126492,3128.52,5961.82,3191.25,4056,3740.1,18111.6,1097.25,6661.2,126.1
262143,243951,7279.58,2212.12,3551.25,6537.96,6162,99367.3,1152,75188.9,126.3
94839.6,68567.5,3143.02,6575.46,832.5,685.62,849.42,16732.6,276.75,1922.7,126.8
114205,97935.2,2991.64,6719.3,1462.5,931.32,1074.06,15501.7,314.25,1765.92,127.3
262143,101670,4037.38,882.76,1576.5,5749.38,2425.8,31669.6,405,40956.2,127.4
106880,77206,2980.62,6735.54,1723.5,1205.1,1329.12,14236.6,442.5,2260.44,128.4
111321,41405.5,2457.46,5885.26,1243.5,1510.08,1316.64,13697.6,508.5,2073.24,129.2
163768,126861,5617.88,12947.3,1815,1592.76,1932.84,27276.6,615,4460.82,129.7
262143,52051,1585.14,330.6,615,964.08,864.24,13418.3,141.75,18153.7,130.9
62037.1,73019.7,4023.46,9988.18,1389,1435.2,1474.2,15327,472.5,2101.32,131.1
117212,53965.1,4070.44,8630.4,1003.5,1230.06,1360.32,25292.3,417.75,2994.42,131.4
102145,73278.7,2561.86,6803.98,1673.25,1528.8,1711.32,15740.4,558,4103.58,131.8
149467,134864,3441.72,7314.38,2036.25,2256.54,2430.48,22156.7,673.5,3890.64,132.3
219201,178005,551.58,582.32,2528.25,5380.44,3129.36,23690.2,688.5,2233.14,132.4
90947.3,89845.9,3713.74,8365.92,1542,2081.04,2056.86,15699.1,602.25,3403.14,133.1
262143,103728,3070.52,731.38,1555.5,6517.68,2585.7,27241.5,517.5,30128.3,133.9
222608,71414.5,4912.02,10846.6,1586.25,1932.06,2054.52,25124.6,627,3013.92,134.2
114712,72005.7,4265.32,9988.76,1006.5,1134.9,1401.66,26399.1,357,2845.44,134.9
112006,41979.6,4293.74,7676.3,813.75,872.04,1046.76,13558,285.75,1478.1,136.3
200792,40195.7,858.4,334.08,340.5,528.84,564.72,13106.3,108.75,8645.52,137.4
121565,81726.8,3312.38,8173.94,1824.75,1772.16,1808.82,15264.6,601.5,2498.34,137.5
200443,96585.8,6745.98,16586.3,1742.25,1857.18,2005.38,34576.6,606,4305.6,137.9
107870,69593.9,4033.32,8542.82,1910.25,1942.2,2235.48,32465.9,718.5,4237.74,138.2
92843.1,74112.5,4394.08,9030.6,1493.25,1618.5,2006.16,30987.8,555,4009.2,138.4
128524,70300.6,3916.16,10795,1145.25,1198.08,1414.14,21050.6,431.25,3068.52,138.8
108543,123123,4369.72,11080.9,2463.75,2819.7,4265.04,61672.3,847.5,4759.56,138.8
119128,67087.8,3353.56,7415.3,1474.5,1520.22,1477.32,16131.2,502.5,3427.32,143.2
110380,52940.9,3308.9,7747.06,967.5,1099.02,946.92,10601.8,372.75,1187.94,143.2
241327,91398.1,6129.44,13186.3,1239.75,1088.88,1705.86,45358.6,403.5,6215.82,143.3
262143,252720,5710.1,2419.76,5398.5,36835.5,10047.2,100197,1014,68870.1,143.4
79660,83046.6,4348.26,8727.84,1578.75,1522.56,1510.08,17375.3,474.75,2403.18,144.9
166296,60350.2,4744.98,10096.6,808.5,672.36,1174.68,25263.4,272.25,1950,145.1
104791,59234.8,3065.88,7726.18,861,943.02,1276.86,26364.8,264.75,2084.94,145.2
127963,72866,402.52,171.68,720.75,1028.04,814.32,9643.14,209.25,5903.04,145.8
147134,71312.3,5200.28,11243.3,1269,1308.06,1425.06,18667,388.5,3356.34,145.8
145187,90017.5,1113.6,311.46,1721.25,1559.22,1095.12,13762.3,324,16302,147.4
118394,84606.6,5057.02,13094.7,1633.5,1772.94,2146.56,28544.1,567,2392.26,147.5
147561,34350.4,940.18,118.32,378.75,879.06,567.84,6833.58,87,7399.86,149.6
262143,157576,4036.8,1138.54,2355,7171.32,3632.46,44803.2,657,45669,149.7
114848,90190.6,5458.38,12023.4,1987.5,1972.62,2334.54,30442.6,614.25,5098.08,149.7
101304,100388,5454.9,12686.3,2382.75,2507.7,2566.98,20264.4,777.75,4769.7,151.4
121231,54453.4,3036.88,7324.24,1049.25,880.62,1194.18,19818.2,385.5,2380.56,152.9
