"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
249244,120020,3441.14,8107.24,2197.5,2134.08,2733.12,45750.1,717.75,4235.4,70.5
262143,144729,1277.74,511.56,1890.75,8814.78,2825.16,20332.3,499.5,14356.7,70.8
262143,53492.4,690.2,174.58,1240.5,10299.9,1942.2,9393.54,239.25,5461.56,70.9
170850,86640.1,164.72,227.94,816.75,2522.52,1171.56,9665.76,153,595.14,71
259433,115529,500.54,418.76,1410.75,5565.3,2683.2,32663.3,308.25,1703.52,71.5
262143,114477,6215.86,14804.5,2424.75,2315.04,2082.6,14964.3,721.5,3683.94,71.8
262143,205780,1063.14,306.24,2501.25,11977.7,3005.34,9015.24,688.5,9766.38,72
150491,103792,2966.7,8141.46,1732.5,1550.64,3932.76,135975,504,5129.28,72
262143,87796.8,783,394.98,1026,4272.84,1826.76,24829,247.5,5859.36,72.2
262143,114595,2835.62,2488.2,1560.75,6771.18,2094.3,14749,390,19103.8,73.8
262143,102182,660.04,267.38,892.5,1751.88,1004.64,12834.1,236.25,6683.82,74.2
262143,73296.6,712.82,336.98,1435.5,11320.1,2862.6,24843,275.25,4122.3,75
195433,92857.4,3048.48,700.06,2046.75,11437.9,3213.6,21547.5,507,29654,75.4
262143,190689,886.24,412.38,4495.5,43306.4,8212.62,14836.4,683.25,9357.66,75.7
262143,170886,2163.98,539.98,3591,14991.6,5422.56,22430.5,1035.75,14773.2,75.8
262143,130183,349.74,663.52,1621.5,7498.92,3017.04,39567.8,406.5,1310.4,75.9
250813,122030,1525.4,406.58,2043.75,9418.5,3037.32,18521.1,565.5,13886.3,76.3
262143,127321,1398.96,291.16,1498.5,2480.4,1587.3,9484.02,377.25,14141.4,76.5
262143,211974,1376.92,1882.1,3078,17115.5,7623.72,103605,710.25,11023,76.6
147802,77529.7,2861.72,7135.16,947.25,755.04,1858.74,59843.9,257.25,3539.64,77
131692,98921.2,3207.4,7575.96,1922.25,2092.74,2204.28,27983.3,555,2763.54,77
253871,87610.4,587.54,385.7,1536,7908.42,2686.32,23718.2,329.25,6307.08,77.6
262143,262143,7298.14,1146.08,6409.5,37536.7,9760.92,32245.2,1431,72553.3,77.6
262143,215246,934.96,985.42,2745,8364.72,4158.96,43501.4,724.5,4282.98,77.9
262143,262143,10812.9,1852.52,6695.25,36682.6,9348.3,48323.3,1466.25,120895,78.1
210771,70299.1,5435.18,13504.7,1203.75,1038.18,1688.7,54447.1,316.5,2960.88,78.2
262143,74162.4,1079.38,664.68,1447.5,8424.78,2852.46,29888.8,321,6651.84,78.4
262143,126660,7319.6,19098.2,2130.75,1840.8,4379.7,134626,659.25,5153.46,78.4
262143,121090,9017.84,22551.6,2443.5,2381.34,2113.8,22036.6,797.25,5170.62,78.4
184942,101356,5438.66,12636.5,1344.75,1312.74,2074.8,63899.9,301.5,4110.6,78.7
262143,179732,3587.88,2119.9,3035.25,14225.6,4324.32,34404.2,726,38254.3,78.8
219340,98237.1,7671.66,18658.6,2496,2949.18,3790.8,67158,794.25,3875.82,78.9
210856,76763.7,1293.98,301.6,1752,9523.02,2408.64,12629.8,384,10402.1,79.1
262143,202073,7434.44,15058,3474.75,7457.58,3775.2,38541.4,985.5,17365.9,79.2
133116,75207.6,3685.32,9355.98,1888.5,1749.54,1816.62,20163.8,514.5,2614.56,79.2
233770,140691,2608.84,565.5,1406.25,1467.96,1454.7,19432.1,429,27156.5,79.3
41756.8,81196.4,1793.94,4285.04,1796.25,2183.22,1579.5,11295.2,543.75,3432.78,79.7
262143,73708.4,990.64,280.14,1389,13405.1,2807.22,15543.8,252.75,10332.7,79.7
111833,82451.5,2732.96,6826.02,1361.25,1346.28,2126.28,53728,419.25,3162.9,80.7
262143,143462,7089.34,16223.2,2453.25,2542.02,2035.8,8732.1,720,3737.76,81
113204,67619.8,3431.28,8484.82,922.5,641.16,1852.5,67629.9,234.75,1734.72,81
262143,157597,15553.9,4002.58,3396.75,7946.64,3627,80132.5,823.5,241140,81.1
231034,93469,537.08,356.7,1085.25,4482.66,1736.28,21206.6,252.75,4345.38,81.4
262143,177434,1407.08,276.66,2304.75,12794.3,3420.3,12640.7,591,14683.5,81.6
229788,60578.7,900.74,180.38,1398.75,11902.8,2538.12,10511.3,268.5,6146.4,81.6
144933,123648,5623.68,12481.6,2238,2195.7,2216.76,16307.5,603,4531.8,82.1
262143,262143,13007.1,2618.12,7359,24331.3,9002.76,69555.7,1869,138315,82.7
262143,101895,1172.76,319,2150.25,8303.88,2762.76,12662.5,534.75,11473.8,82.8
262143,96414.2,609,243.6,1547.25,6530.94,2286.96,11504.2,373.5,3407.04,82.8
181500,82031,4809.94,10377.9,2211,2617.68,3565.38,73150.7,720,3130.92,83.1
254856,122064,8562.54,19220.6,2159.25,2336.1,2001.48,12599.3,654,3290.82,83.3
262143,223933,4461.36,942.5,4260.75,10623.6,5276.7,24219,1208.25,41428.1,83.4
225960,94616.3,1592.1,278.98,1112.25,3217.5,1235.52,9208.68,265.5,13515.1,83.9
175879,109895,315.52,314.94,2465.25,28906.8,5421.78,20046.8,288.75,2708.94,84.1
262143,214057,4060,9503.88,4458,12986.2,5394.48,54877.7,1350,5729.1,84.3
262143,155324,3523.5,744.14,3548.25,6435.78,3896.1,18346.4,1167,34548.5,84.6
249351,96509.4,4371.46,10969.5,2274.75,2322.84,3147.3,63807.9,695.25,4438.98,84.7
262143,131372,7883.94,20468.2,2544.75,2468.7,2601.3,43277.5,702.75,4139.46,84.7
262143,94201.4,2320.58,460.52,1560.75,5301.66,2026.44,14581.3,433.5,18083.5,84.8
262143,247179,3112.28,1280.06,3948,17898.7,5965.44,57539.8,995.25,38433.7,85.2
262143,93790.3,767.34,382.8,1185,5193.24,1893.06,22176.2,259.5,6300.84,85.8
162012,58992.2,2774.72,6799.92,771,741,801.84,14012.7,172.5,1276.86,86.2
262143,262143,2935.96,1532.94,6110.25,16663.1,8649.42,118386,1177.5,27828.8,86.3
116398,60661.4,532.44,295.8,1500,10000.4,2450.76,15111.7,288.75,2425.02,86.9
262143,162295,8614.74,21451.3,3327,3459.3,3628.56,55480.6,1011,7317.18,87.1
262143,110620,1567.74,770.82,1476.75,5820.36,2339.22,32110.3,324,22824.4,87.4
262143,127456,2134.98,374.1,4239.75,26779,5960.76,9980.88,863.25,20953.9,87.8
262143,174246,2205.16,689.04,2636.25,7162.74,3522.48,27732.9,794.25,24533.3,87.8
167706,50673.5,336.98,154.28,1042.5,10617.4,2201.94,11393.5,183.75,2683.2,87.9
136819,64311.8,4046.08,8420.44,1110.75,1020.24,1099.8,19189.6,318.75,2436.72,88.1
169138,142274,5781.44,15419.3,2103.75,1886.82,1971.84,28463.8,579.75,3145.74,88.1
81695.2,55915.1,1711,3495.08,777,803.4,742.56,11741.3,199.5,1638.78,88.1
150288,152805,2852.44,704.7,1804.5,5244.72,2372.76,24454.6,475.5,37215.4,88.8
262143,88555.7,567.24,393.24,1553.25,13838,2965.56,14998.6,281.25,3361.02,88.9
237476,65179.1,365.4,185.6,1189.5,8806.98,1962.48,8462.22,272.25,3027.18,89
262143,124381,1916.32,382.22,2735.25,5252.52,2936.7,13851.2,675.75,11217.2,89.1
262143,112246,644.96,726.16,1406.25,12151.6,2928.12,18166.2,255.75,6258.72,89.2
131698,72621.9,1858.9,5507.1,825.75,768.3,1685.58,54698.3,247.5,2886,89.3
256825,63041.9,415.28,429.78,861.75,3293.94,1481.22,17550,196.5,3227.64,89.3
262143,97095.2,191.4,350.9,1343.25,6713.46,2171.52,16148.3,250.5,1732.38,89.4
262143,196452,4650.44,1131,2508.75,15986.9,4503.72,44294.6,497.25,53625.8,89.5
262143,217176,3312.96,925.1,2790.75,3838.38,3031.86,27361.6,958.5,35647.6,89.6
262143,262143,13269.8,4446.28,7611.75,40194.2,13990.9,195829,1746.75,146745,89.9
25323.2,182311,58113.7,143541,1454.25,1960.14,1557.66,62138.7,1368.75,5681.52,90
262143,141115,781.26,943.08,1937.25,4846.92,2799.42,46816.4,434.25,8976.24,90.2
262143,257141,1778.28,852.02,6192,17600.7,7196.28,39186.4,1659.75,5644.08,90.3
262143,262143,7354.4,1734.78,4791.75,13075.9,5139.42,55931.5,1090.5,79936.7,90.6
248983,262143,4184.12,1513.8,7932.75,42572.4,11467.6,76532,1750.5,47005.1,90.8
262143,140702,1786.4,428.04,2938.5,5734.56,2541.24,17657.6,641.25,15020.5,90.8
262143,64797.7,824.18,412.96,1808.25,7911.54,2657.46,20613.8,453,7379.58,91
262143,217125,3176.08,1690.7,6249.75,7651.8,4845.36,55173.3,1031.25,30111.9,91.1
232988,235586,13254.2,4245.02,3126.75,7395.18,3630.9,61921.9,854.25,135576,91.3
168720,77913.4,894.94,164.72,879,5440.5,1423.5,7204.86,167.25,8558.94,91.8
262143,116075,2310.72,574.78,1589.25,7126.86,2187.12,15036.1,379.5,22511.6,92
262143,262143,6305.76,2409.9,4511.25,15525.1,5948.28,60681.7,1119.75,65938.1,92.4
262143,129443,5953.7,11956.1,3241.5,3566.94,2953.08,22616.1,861.75,4300.92,92.4
129972,89023.7,6921.14,17419.1,1638.75,1709.76,1581.84,24796.2,453,4031.82,92.6
262143,262143,7647.3,1994.62,3807.75,8021.52,5045.82,65649.5,1098.75,88232.8,92.9
